ae_loss,y_disc_loss,y_cheat_loss,z_disc_loss,z_cheat_loss,cluster_head_loss,val_ae_loss,val_y_disc_loss,val_y_cheat_loss,val_z_disc_loss,val_z_cheat_loss,val_cluster_head_loss,lr,epoch
0.39003977675212725,-4.082082532033619e-06,9.955625383486503e-07,-0.0033859189836885897,0.12047915899594462,0.5098748611596086,0.34813205531386077,-1.638122647237338e-05,4.330849201622067e-06,0.016264169553264242,0.13203071589108373,0.48490750789642334,0.0001,1
0.3619143022281678,-0.00014634407034277194,6.50009987619816e-05,0.0008532463035544331,0.132112941488593,0.458701698748238,0.33919677700175616,-0.0003337255277342667,0.00011801400576020614,0.04160111605143938,0.16089090521706909,0.43261659145355225,0.0001,2
0.3576673559339629,-0.0009753190920911959,0.00041327918081274695,0.0008357771523143844,0.0964126480524323,0.4085372971558228,0.33903136653978316,-0.0014325221399318611,0.0004182780824327788,-0.025286326184868813,-0.017611256018128307,0.3845175802707672,0.0001,3
0.35551641150176894,-0.0027289877103515415,0.0009217514218193588,0.004968340240430386,0.04360463825753437,0.3632856313085654,0.3344172017007578,-0.0024917885416843853,-0.00015160858275022128,-0.001033925039113545,0.024357771745226423,0.34397220611572266,0.0001,4
0.353838321548223,-0.004214866643339334,0.00046084874491655214,-0.0013987249317072195,0.0439272904376551,0.3273098135263768,0.3340380094090446,-0.0029800584039757732,-0.0014805246951925897,0.07050121108405903,0.08646269264768382,0.3113176226615906,0.0001,5
0.355039874141466,-0.004710295164213732,-0.0007284242985366157,0.007025731392338627,0.045251451750157795,0.2978326008794734,0.33260488510131836,-0.0028544333579732474,-0.003499538881531735,0.026902836121496607,0.140105096165274,0.28570273518562317,0.0001,6
0.35441543360755184,-0.004329192258326291,-0.0038038885033951433,0.0006932109992117362,0.16299925216720335,0.2754487046470877,0.33254827632278694,-0.002242523081029086,-0.007163450568456386,-0.04261521665287799,0.159683529715069,0.26597222685813904,0.0001,7
0.3537292184281398,-0.0038552786275971294,-0.00694260381743526,0.005535358436849328,0.08870366897273357,0.25812961757795033,0.331894506440788,-0.0028548785017161117,-0.008607144074392368,0.05412977994954,0.0905193844046749,0.25107547640800476,0.0001,8
0.35269668832941464,-0.003533177402603643,-0.009755403663029844,-0.0021091100340995947,0.09534731692418426,0.2452675655820776,0.334251587752436,-0.0030975664973442183,-0.011435012638446738,0.0583015217399988,0.060937273480211857,0.23988978564739227,0.0001,9
0.3525945804936685,-0.0036115983620121526,-0.012710242467173194,0.0027609373035494553,0.13035039794946843,0.23581288984424034,0.3304207454450795,-0.002803729029065074,-0.01396959433026734,-0.007661832404918358,0.247110586308065,0.23155726492404938,0.0001,10
0.3524017926971036,-0.003415649692545639,-0.014363727643244444,0.006957748342588452,0.27418965339905427,0.22842778908031433,0.3306501419817815,-0.0027683669712013264,-0.015213080513917033,0.036547759761575795,0.19074469059705734,0.2254684567451477,0.0001,11
0.3517137626358126,-0.00330204826664055,-0.015593176070807284,7.565849454924311e-05,0.10623902660742922,0.2233496954247692,0.32890296568636035,-0.0027449478477704317,-0.016549386572642405,0.024242415291364075,0.15290877003161635,0.220998615026474,0.0001,12
0.3508708951899158,-0.0029856833071944884,-0.01881778893659553,-0.0013728633645378834,0.18564197708693864,0.21948803698135352,0.3304979063448359,-0.002809073335214873,-0.020438009521878155,-0.0022117196902876994,0.2156018579348189,0.21778860688209534,0.0001,13
0.3509342180874803,-0.0029105651550786426,-0.02264874487794033,0.0039380217540925045,0.24318892158399616,0.21662652489463408,0.3293648025051492,-0.0028923667889073123,-0.023651470582871162,0.046092092135890585,0.2530670049981993,0.2155190408229828,0.0001,14
0.35084094140808686,-0.002874736145002006,-0.02551322740558114,0.005215882777391304,0.06565216733372217,0.21476697842198475,0.3279910803329749,-0.0026293046537263806,-0.02697671812455185,-0.00011396730608749585,0.008073511354522169,0.2138558328151703,0.0001,15
0.351122319637138,-0.0030688554288868914,-0.028853096113802226,-0.002006394212522393,-0.02950380570699845,0.21335381290873462,0.3301107011369017,-0.0020824561818449557,-0.02945744272199322,-0.029242815591059016,0.014284754194868882,0.2127174288034439,0.0001,16
0.350413595259312,-0.0029965702061273886,-0.02977374069453877,0.0004510867191398291,0.1600675588751927,0.21240504404235425,0.329513070524716,-0.0020928822904963573,-0.031545498744264,0.1463147917243301,0.3289007432148105,0.21192601323127747,0.0001,17
0.35072849736810957,-0.0030820230532734457,-0.03417354563989311,0.011335632150889483,0.0873617077020649,0.21168123014286558,0.3287575301088271,-0.002763270854526037,-0.035934896528965136,0.0985397595729007,0.0519919165975002,0.2113673835992813,0.0001,18
0.35106536317654946,-0.003122935628062456,-0.03802789648271929,-0.00280653656550226,0.1737667658434152,0.21120752822569508,0.32912435541387464,-0.003536482332522416,-0.03839685886976172,0.05548763629354415,-0.29788542306814036,0.21099665760993958,0.0001,19
0.3509198021472602,-0.003193784622395783,-0.04094042763634139,-0.002967271171663209,-0.28330347780520726,0.21088760408899868,0.3281921871372911,-0.0038276055720863774,-0.04039710073075334,0.10437403738376547,0.12855192370422672,0.2107468694448471,0.0001,20
0.35012697604402626,-0.003359259427107968,-0.04356003404275593,-0.0010274483437900425,0.20858230960442545,0.210673057323119,0.3286137649270355,-0.004466750079596064,-0.04240512279946296,-0.06164202463553577,0.18105364755773154,0.2105780839920044,0.0001,21
0.35051819492414504,-0.003514944955854685,-0.0470727982967174,0.003389009008723363,0.3069939194916455,0.21052735413613996,0.33270419645504873,-0.0030965752258885378,-0.0472197457842651,0.26547264258881087,0.38639754942450366,0.21045085787773132,0.0001,22
0.34989173597134116,-0.0034530150916746044,-0.0486591141403211,0.09025506422810975,0.23659826675908033,0.21044156726380883,0.3277182197961651,-0.0033395516934955384,-0.04858666157624761,0.046767024903512394,0.07826689801743773,0.21040448546409607,5e-05,23
0.34893834951966696,-0.003385219351262477,-0.05080593298562253,-0.054499771530133745,-0.12142098425443856,0.21040037996470315,0.3271427691959944,-0.0035955623469086932,-0.050133685505048174,-0.03945937972576892,-0.15314812891444832,0.21036653220653534,5e-05,24
0.3490326345211671,-0.003374564036632833,-0.0530146066275343,0.058089236233544055,-0.08674753842840939,0.2103688626012763,0.32735676965752586,-0.0036537244026864056,-0.05302979424595833,0.036413626714808044,0.2123657841174329,0.2103317677974701,5e-05,25
0.34875620439556837,-0.0033536569233664384,-0.05601380570376678,-0.013348403560797048,0.3895695807079515,0.21033205064415197,0.3279315919661131,-0.0036452782667050192,-0.05563803218671533,0.2136539406463748,0.14544731097631766,0.2103029042482376,5e-05,26
